intelligence,strength,speed,durability,combat,height_cm,weight_kg,power
69.0,14.0,12.0,90.0,28.0,168.0,68.0,52.0
50.0,8.0,20.0,28.0,64.0,165.0,56.0,77.0
38.0,10.0,27.0,42.0,56.0,175.0,77.0,47.0
10.0,83.0,23.0,95.0,72.0,178.0,230.0,28.0
63.0,80.0,33.0,80.0,84.0,218.0,495.0,100.0
38.0,10.0,12.0,42.0,64.0,165.0,55.0,57.0
100.0,95.0,63.0,90.0,75.0,198.0,135.0,60.0
100.0,10.0,23.0,28.0,32.0,170.0,61.0,60.0
63.0,28.0,42.0,70.0,60.0,157.0,52.0,48.0
50.0,11.0,25.0,70.0,70.0,183.0,90.0,20.0
63.0,28.0,25.0,10.0,35.0,170.0,59.0,47.0
88.0,48.0,23.0,56.0,80.0,203.0,158.0,100.0
63.0,53.0,23.0,42.0,85.0,175.0,74.0,52.0
50.0,28.0,67.0,99.0,56.0,183.0,81.0,94.0
69.0,19.0,38.0,55.0,100.0,188.0,108.0,60.0
81.0,93.0,83.0,90.0,80.0,193.0,90.0,100.0
75.0,77.0,50.0,60.0,80.0,198.0,116.0,31.0
88.0,100.0,88.0,95.0,75.0,193.0,101.0,100.0
84.0,88.0,71.0,95.0,90.0,180.0,74.0,100.0
75.0,81.0,27.0,90.0,56.0,175.0,74.0,34.0
63.0,63.0,70.0,84.0,90.0,185.0,86.0,88.0
69.0,11.0,33.0,28.0,85.0,175.0,61.0,27.0
88.0,80.0,53.0,64.0,100.0,201.0,97.0,100.0
50.0,10.0,20.0,80.0,64.0,175.0,63.0,57.0
63.0,10.0,23.0,42.0,64.0,180.0,81.0,64.0
38.0,8.0,42.0,20.0,70.0,163.0,50.0,32.0
88.0,100.0,88.0,80.0,95.0,175.0,54.0,78.0
50.0,95.0,33.0,100.0,60.0,183.0,170.0,23.0
63.0,10.0,47.0,64.0,56.0,226.0,70.0,100.0
75.0,10.0,17.0,10.0,40.0,178.0,78.0,7.0
63.0,83.0,33.0,100.0,80.0,226.0,225.0,45.0
56.0,10.0,21.0,25.0,60.0,183.0,67.0,54.0
50.0,10.0,8.0,10.0,25.0,183.0,99.0,27.0
63.0,16.0,12.0,14.0,56.0,168.0,50.0,61.0
75.0,53.0,42.0,85.0,64.0,198.0,173.0,71.0
75.0,10.0,23.0,42.0,80.0,191.0,88.0,76.0
75.0,13.0,25.0,35.0,100.0,183.0,90.0,61.0
50.0,32.0,33.0,70.0,64.0,185.0,81.0,74.0
88.0,100.0,83.0,100.0,95.0,267.0,817.0,100.0
38.0,8.0,35.0,42.0,64.0,168.0,56.0,79.0
69.0,48.0,33.0,35.0,100.0,198.0,135.0,100.0
25.0,12.0,92.0,60.0,30.0,122.0,27.0,20.0
63.0,10.0,33.0,60.0,55.0,173.0,52.0,100.0
50.0,10.0,33.0,100.0,42.0,183.0,90.0,100.0
69.0,32.0,50.0,100.0,100.0,188.0,95.0,100.0
50.0,10.0,23.0,28.0,80.0,185.0,91.0,55.0
69.0,32.0,30.0,70.0,60.0,193.0,178.0,40.0
75.0,30.0,35.0,100.0,90.0,193.0,101.0,47.0
50.0,48.0,42.0,35.0,60.0,185.0,95.0,67.0
50.0,95.0,58.0,98.0,70.0,188.0,383.0,85.0
44.0,16.0,23.0,28.0,60.0,193.0,90.0,45.0
75.0,80.0,33.0,80.0,70.0,198.0,171.0,36.0
100.0,32.0,20.0,100.0,84.0,201.0,187.0,100.0
81.0,16.0,25.0,80.0,50.0,188.0,89.0,100.0
94.0,48.0,33.0,40.0,65.0,175.0,110.0,53.0
100.0,10.0,12.0,84.0,60.0,188.0,81.0,100.0
63.0,10.0,27.0,28.0,74.0,173.0,54.0,49.0
75.0,100.0,67.0,100.0,90.0,244.0,412.0,100.0
8.0,63.0,60.0,95.0,84.0,196.0,104.0,69.0
56.0,80.0,25.0,85.0,65.0,193.0,306.0,46.0
63.0,32.0,33.0,95.0,70.0,168.0,56.0,52.0
69.0,10.0,50.0,56.0,64.0,180.0,74.0,67.0
63.0,11.0,30.0,28.0,100.0,175.0,59.0,59.0
75.0,10.0,33.0,90.0,40.0,185.0,80.0,44.0
75.0,63.0,35.0,90.0,42.0,178.0,65.0,100.0
63.0,14.0,25.0,60.0,40.0,168.0,57.0,100.0
50.0,85.0,17.0,100.0,50.0,193.0,203.0,100.0
69.0,32.0,50.0,100.0,100.0,188.0,95.0,100.0
50.0,32.0,33.0,70.0,64.0,191.0,106.0,85.0
63.0,81.0,28.0,28.0,70.0,183.0,88.0,100.0
38.0,13.0,50.0,28.0,64.0,188.0,108.0,22.0
38.0,28.0,45.0,28.0,70.0,175.0,50.0,27.0
38.0,8.0,40.0,14.0,42.0,165.0,56.0,100.0
38.0,63.0,75.0,90.0,28.0,193.0,99.0,52.0
50.0,8.0,54.0,55.0,32.0,173.0,56.0,71.0
38.0,80.0,58.0,80.0,40.0,188.0,91.0,100.0
63.0,10.0,100.0,50.0,32.0,180.0,81.0,68.0
88.0,48.0,100.0,60.0,60.0,183.0,88.0,100.0
63.0,10.0,100.0,60.0,32.0,183.0,86.0,100.0
63.0,10.0,100.0,32.0,48.0,157.0,52.0,100.0
63.0,10.0,12.0,28.0,48.0,183.0,81.0,25.0
63.0,80.0,50.0,60.0,50.0,142.0,45.0,100.0
38.0,10.0,1.0,1.0,10.0,188.0,92.0,0.0
63.0,53.0,35.0,100.0,52.0,211.0,104.0,38.0
63.0,10.0,23.0,28.0,84.0,185.0,81.0,55.0
75.0,85.0,42.0,85.0,100.0,183.0,77.0,53.0
50.0,55.0,25.0,100.0,60.0,188.0,99.0,100.0
50.0,100.0,100.0,100.0,70.0,198.0,268.0,77.0
75.0,10.0,23.0,28.0,56.0,168.0,50.0,65.0
56.0,100.0,75.0,90.0,100.0,175.0,62.0,100.0
81.0,53.0,33.0,70.0,65.0,198.0,270.0,100.0
50.0,32.0,33.0,40.0,30.0,178.0,79.0,69.0
81.0,12.0,35.0,28.0,90.0,188.0,88.0,39.0
100.0,48.0,38.0,60.0,50.0,180.0,83.0,48.0
75.0,55.0,37.0,50.0,26.0,178.0,77.0,44.0
38.0,90.0,53.0,64.0,64.0,188.0,95.0,100.0
69.0,90.0,75.0,80.0,70.0,188.0,90.0,100.0
50.0,10.0,17.0,20.0,60.0,183.0,79.0,43.0
88.0,12.0,33.0,65.0,80.0,170.0,63.0,55.0
63.0,10.0,25.0,60.0,45.0,183.0,79.0,71.0
38.0,38.0,35.0,95.0,42.0,185.0,89.0,43.0
56.0,12.0,21.0,10.0,80.0,191.0,104.0,29.0
50.0,6.0,8.0,10.0,50.0,165.0,57.0,24.0
50.0,28.0,53.0,99.0,72.0,175.0,61.0,96.0
38.0,10.0,17.0,45.0,30.0,180.0,81.0,27.0
63.0,100.0,46.0,100.0,45.0,213.0,225.0,100.0
63.0,53.0,21.0,95.0,75.0,259.0,158.0,73.0
63.0,11.0,33.0,45.0,70.0,173.0,61.0,46.0
63.0,100.0,46.0,85.0,100.0,196.0,146.0,89.0
63.0,10.0,12.0,32.0,75.0,168.0,48.0,93.0
88.0,100.0,63.0,100.0,85.0,244.0,630.0,98.0
63.0,11.0,63.0,70.0,42.0,178.0,77.0,87.0
69.0,10.0,23.0,28.0,95.0,180.0,59.0,34.0
63.0,63.0,35.0,78.0,64.0,170.0,58.0,48.0
63.0,63.0,58.0,75.0,80.0,175.0,77.0,100.0
38.0,13.0,25.0,80.0,50.0,188.0,119.0,66.0
88.0,100.0,100.0,95.0,80.0,183.0,207.0,87.0
63.0,32.0,53.0,100.0,64.0,173.0,65.0,100.0
50.0,10.0,100.0,60.0,60.0,170.0,65.0,74.0
69.0,10.0,17.0,30.0,30.0,183.0,79.0,19.0
38.0,28.0,17.0,40.0,50.0,180.0,81.0,73.0
88.0,10.0,27.0,85.0,56.0,168.0,54.0,93.0
75.0,55.0,33.0,50.0,100.0,180.0,79.0,95.0
100.0,85.0,58.0,85.0,64.0,198.0,191.0,100.0
63.0,55.0,100.0,30.0,30.0,155.0,79.0,77.0
6.0,34.0,67.0,80.0,6.0,71.0,14.0,100.0
69.0,11.0,17.0,30.0,75.0,178.0,77.0,30.0
94.0,80.0,21.0,20.0,70.0,168.0,52.0,92.0
75.0,10.0,35.0,42.0,72.0,168.0,55.0,74.0
56.0,44.0,50.0,70.0,55.0,170.0,56.0,18.0
75.0,12.0,35.0,28.0,80.0,183.0,88.0,87.0
100.0,10.0,12.0,60.0,70.0,196.0,86.0,43.0
63.0,12.0,27.0,32.0,42.0,165.0,49.0,31.0
56.0,8.0,22.0,20.0,90.0,165.0,52.0,66.0
44.0,100.0,42.0,100.0,70.0,287.0,855.0,85.0
50.0,10.0,33.0,70.0,30.0,178.0,81.0,55.0
100.0,48.0,58.0,70.0,70.0,191.0,104.0,100.0
19.0,53.0,35.0,90.0,60.0,244.0,356.0,53.0
81.0,90.0,53.0,42.0,80.0,234.0,324.0,100.0
75.0,18.0,25.0,40.0,70.0,201.0,203.0,13.0
63.0,38.0,33.0,100.0,60.0,188.0,97.0,62.0
50.0,34.0,23.0,28.0,85.0,191.0,99.0,43.0
63.0,32.0,35.0,42.0,85.0,183.0,106.0,25.0
9.0,80.0,100.0,90.0,40.0,64.0,18.0,82.0
69.0,90.0,50.0,60.0,60.0,180.0,79.0,100.0
63.0,28.0,42.0,85.0,90.0,175.0,58.0,48.0
100.0,10.0,12.0,14.0,42.0,178.0,63.0,59.0
50.0,100.0,42.0,30.0,75.0,175.0,59.0,100.0
100.0,53.0,25.0,65.0,70.0,188.0,95.0,68.0
38.0,10.0,35.0,28.0,42.0,165.0,54.0,67.0
38.0,10.0,23.0,28.0,42.0,155.0,65.0,60.0
44.0,10.0,23.0,42.0,42.0,191.0,95.0,66.0
75.0,53.0,35.0,56.0,28.0,198.0,360.0,31.0
50.0,51.0,27.0,70.0,56.0,203.0,230.0,63.0
94.0,100.0,54.0,100.0,85.0,229.0,288.0,100.0
88.0,63.0,46.0,85.0,60.0,193.0,236.0,100.0
50.0,10.0,27.0,10.0,70.0,188.0,36.0,71.0
50.0,63.0,29.0,95.0,70.0,198.0,191.0,44.0
69.0,38.0,42.0,25.0,100.0,168.0,77.0,100.0
75.0,36.0,60.0,84.0,56.0,180.0,79.0,60.0
63.0,32.0,35.0,84.0,64.0,183.0,383.0,51.0
88.0,80.0,27.0,84.0,80.0,188.0,86.0,91.0
50.0,32.0,8.0,100.0,40.0,213.0,225.0,100.0
63.0,44.0,35.0,42.0,70.0,188.0,90.0,45.0
100.0,28.0,23.0,28.0,95.0,188.0,97.0,100.0
63.0,8.0,33.0,80.0,80.0,168.0,52.0,100.0
100.0,95.0,92.0,100.0,85.0,201.0,135.0,100.0
63.0,85.0,47.0,42.0,80.0,170.0,56.0,100.0
63.0,10.0,12.0,42.0,85.0,193.0,110.0,60.0
75.0,90.0,35.0,56.0,75.0,180.0,72.0,81.0
75.0,34.0,35.0,70.0,56.0,180.0,59.0,37.0
38.0,10.0,12.0,42.0,64.0,165.0,54.0,62.0
88.0,85.0,35.0,95.0,42.0,198.0,140.0,100.0
56.0,62.0,79.0,60.0,80.0,175.0,72.0,92.0
75.0,53.0,23.0,95.0,64.0,196.0,90.0,86.0
88.0,10.0,47.0,56.0,28.0,185.0,86.0,100.0
38.0,28.0,27.0,28.0,32.0,183.0,77.0,44.0
63.0,67.0,47.0,56.0,42.0,188.0,101.0,79.0
63.0,85.0,58.0,100.0,45.0,178.0,61.0,100.0
100.0,10.0,18.0,70.0,64.0,185.0,81.0,33.0
75.0,32.0,12.0,70.0,28.0,183.0,86.0,37.0
100.0,48.0,46.0,90.0,50.0,196.0,128.0,100.0
75.0,31.0,38.0,20.0,95.0,175.0,61.0,48.0
100.0,18.0,25.0,25.0,15.0,366.0,338.0,79.0
50.0,73.0,23.0,84.0,56.0,196.0,248.0,53.0
50.0,36.0,23.0,42.0,75.0,188.0,101.0,28.0
56.0,67.0,47.0,52.0,80.0,180.0,59.0,74.0
63.0,60.0,35.0,42.0,56.0,188.0,79.0,74.0
75.0,28.0,12.0,42.0,56.0,175.0,72.0,55.0
50.0,10.0,8.0,100.0,30.0,188.0,70.0,69.0
50.0,83.0,33.0,95.0,40.0,201.0,158.0,29.0
38.0,63.0,23.0,84.0,56.0,173.0,61.0,11.0
63.0,11.0,23.0,70.0,62.0,180.0,70.0,28.0
81.0,10.0,17.0,40.0,70.0,180.0,79.0,82.0
75.0,12.0,23.0,64.0,74.0,178.0,54.0,64.0
69.0,95.0,58.0,70.0,85.0,188.0,125.0,73.0
50.0,85.0,42.0,42.0,64.0,180.0,85.0,48.0
50.0,72.0,47.0,70.0,70.0,168.0,101.0,37.0
50.0,80.0,32.0,80.0,100.0,168.0,54.0,100.0
63.0,52.0,13.0,50.0,60.0,185.0,83.0,42.0
75.0,11.0,23.0,42.0,100.0,185.0,99.0,25.0
50.0,10.0,47.0,14.0,80.0,175.0,88.0,76.0
88.0,11.0,33.0,28.0,100.0,178.0,79.0,36.0
50.0,18.0,83.0,56.0,70.0,180.0,83.0,65.0
100.0,85.0,75.0,100.0,80.0,185.0,86.0,100.0
63.0,60.0,100.0,100.0,35.0,163.0,59.0,100.0
100.0,83.0,67.0,95.0,90.0,206.0,293.0,100.0
38.0,100.0,83.0,95.0,50.0,175.0,69.0,55.0
88.0,100.0,33.0,100.0,55.0,305.0,405.0,100.0
75.0,11.0,23.0,28.0,76.0,178.0,59.0,19.0
8.0,11.0,21.0,50.0,5.0,170.0,117.0,7.0
75.0,10.0,12.0,28.0,45.0,157.0,79.0,30.0
38.0,10.0,23.0,28.0,42.0,168.0,54.0,53.0
100.0,100.0,83.0,100.0,80.0,168.0,52.0,100.0
63.0,60.0,25.0,55.0,25.0,183.0,87.0,61.0
50.0,63.0,23.0,100.0,56.0,185.0,80.0,100.0
50.0,10.0,23.0,28.0,42.0,168.0,55.0,60.0
81.0,14.0,21.0,40.0,40.0,168.0,50.0,100.0
63.0,73.0,42.0,50.0,45.0,170.0,52.0,100.0
94.0,100.0,100.0,100.0,75.0,180.0,81.0,100.0
63.0,30.0,25.0,85.0,90.0,213.0,234.0,100.0
100.0,8.0,12.0,14.0,32.0,183.0,86.0,100.0
94.0,10.0,100.0,20.0,20.0,180.0,81.0,83.0
63.0,33.0,25.0,40.0,90.0,180.0,70.0,100.0
69.0,16.0,21.0,45.0,100.0,183.0,90.0,42.0
56.0,10.0,8.0,30.0,10.0,180.0,74.0,92.0
38.0,10.0,12.0,14.0,28.0,178.0,68.0,54.0
81.0,14.0,27.0,35.0,80.0,188.0,83.0,20.0
63.0,28.0,100.0,60.0,56.0,183.0,79.0,81.0
38.0,10.0,12.0,14.0,14.0,163.0,56.0,23.0
100.0,28.0,32.0,42.0,100.0,193.0,97.0,27.0
63.0,14.0,25.0,30.0,100.0,178.0,83.0,30.0
50.0,10.0,29.0,70.0,40.0,165.0,50.0,84.0
50.0,10.0,92.0,100.0,20.0,178.0,70.0,100.0
63.0,16.0,25.0,20.0,80.0,180.0,83.0,23.0
75.0,12.0,23.0,28.0,95.0,183.0,81.0,35.0
50.0,100.0,47.0,85.0,75.0,213.0,630.0,82.0
81.0,11.0,27.0,32.0,80.0,165.0,56.0,29.0
75.0,10.0,12.0,14.0,80.0,188.0,108.0,19.0
75.0,38.0,67.0,60.0,40.0,185.0,146.0,100.0
25.0,80.0,43.0,90.0,85.0,196.0,320.0,36.0
88.0,11.0,23.0,28.0,95.0,185.0,85.0,19.0
88.0,11.0,27.0,28.0,85.0,178.0,79.0,32.0
75.0,11.0,27.0,28.0,85.0,183.0,101.0,28.0
81.0,11.0,27.0,28.0,85.0,165.0,56.0,29.0
69.0,8.0,33.0,16.0,65.0,137.0,38.0,29.0
50.0,5.0,23.0,28.0,64.0,122.0,25.0,28.0
75.0,10.0,12.0,28.0,80.0,173.0,54.0,80.0
56.0,12.0,21.0,10.0,80.0,191.0,104.0,13.0
75.0,10.0,29.0,20.0,80.0,168.0,63.0,23.0
56.0,48.0,38.0,90.0,100.0,198.0,171.0,50.0
75.0,10.0,12.0,14.0,56.0,170.0,61.0,28.0
44.0,75.0,46.0,90.0,60.0,185.0,203.0,100.0
75.0,80.0,23.0,56.0,42.0,305.0,900.0,15.0
81.0,10.0,12.0,14.0,50.0,183.0,63.0,48.0
75.0,53.0,60.0,74.0,56.0,178.0,74.0,46.0
88.0,55.0,60.0,40.0,56.0,193.0,113.0,37.0
100.0,10.0,29.0,70.0,80.0,170.0,59.0,100.0
50.0,52.0,60.0,85.0,80.0,211.0,310.0,49.0
75.0,100.0,100.0,84.0,40.0,188.0,87.0,100.0
75.0,12.0,27.0,100.0,75.0,185.0,149.0,100.0
63.0,10.0,67.0,20.0,80.0,173.0,54.0,79.0
88.0,8.0,21.0,25.0,70.0,168.0,50.0,69.0
63.0,12.0,30.0,50.0,100.0,178.0,79.0,29.0
63.0,48.0,45.0,64.0,84.0,191.0,88.0,49.0
81.0,100.0,42.0,100.0,70.0,201.0,315.0,40.0
69.0,72.0,21.0,80.0,65.0,183.0,153.0,23.0
63.0,10.0,23.0,70.0,56.0,175.0,79.0,79.0
50.0,10.0,23.0,28.0,42.0,173.0,52.0,45.0
63.0,90.0,67.0,80.0,70.0,188.0,191.0,100.0
56.0,100.0,100.0,90.0,32.0,193.0,101.0,100.0
50.0,28.0,35.0,42.0,42.0,157.0,50.0,34.0
75.0,85.0,53.0,64.0,55.0,201.0,92.0,100.0
56.0,62.0,79.0,60.0,60.0,175.0,72.0,92.0
38.0,8.0,47.0,28.0,42.0,168.0,52.0,50.0
50.0,85.0,27.0,90.0,85.0,198.0,180.0,69.0
50.0,32.0,27.0,42.0,52.0,178.0,49.0,70.0
9.0,93.0,13.0,100.0,30.0,279.0,437.0,92.0
75.0,36.0,27.0,42.0,56.0,165.0,65.0,55.0
38.0,18.0,33.0,40.0,80.0,188.0,113.0,95.0
75.0,60.0,50.0,90.0,95.0,211.0,405.0,100.0
63.0,38.0,60.0,65.0,75.0,170.0,54.0,53.0
75.0,55.0,63.0,70.0,70.0,165.0,56.0,66.0
90.0,55.0,67.0,75.0,85.0,178.0,74.0,74.0
56.0,42.0,42.0,60.0,70.0,178.0,59.0,68.0
50.0,48.0,27.0,42.0,28.0,173.0,55.0,60.0
81.0,18.0,17.0,40.0,40.0,185.0,81.0,56.0
50.0,12.0,17.0,60.0,30.0,183.0,83.0,48.0
69.0,20.0,33.0,50.0,70.0,188.0,79.0,25.0
50.0,80.0,33.0,85.0,70.0,193.0,71.0,59.0
63.0,80.0,25.0,90.0,55.0,165.0,62.0,87.0
69.0,8.0,42.0,50.0,40.0,170.0,63.0,90.0
81.0,82.0,53.0,90.0,64.0,201.0,131.0,64.0
94.0,100.0,83.0,100.0,100.0,183.0,91.0,100.0
75.0,10.0,47.0,30.0,75.0,180.0,57.0,88.0
63.0,63.0,35.0,25.0,70.0,173.0,77.0,90.0
75.0,95.0,83.0,90.0,60.0,170.0,68.0,95.0
94.0,100.0,100.0,100.0,85.0,180.0,77.0,100.0
94.0,100.0,100.0,100.0,75.0,165.0,54.0,100.0
94.0,100.0,100.0,100.0,85.0,191.0,101.0,100.0
75.0,18.0,50.0,90.0,35.0,196.0,47.0,38.0
75.0,67.0,23.0,28.0,56.0,180.0,74.0,74.0
75.0,34.0,33.0,100.0,75.0,183.0,146.0,100.0
75.0,12.0,50.0,20.0,100.0,188.0,99.0,63.0
38.0,10.0,45.0,28.0,60.0,163.0,54.0,66.0
100.0,100.0,33.0,100.0,80.0,201.0,443.0,100.0
63.0,14.0,17.0,10.0,80.0,188.0,101.0,12.0
75.0,84.0,21.0,100.0,80.0,183.0,225.0,38.0
69.0,100.0,83.0,100.0,100.0,198.0,288.0,100.0
75.0,83.0,70.0,84.0,70.0,175.0,143.0,100.0
50.0,32.0,27.0,32.0,70.0,185.0,101.0,13.0
63.0,80.0,70.0,84.0,72.0,198.0,288.0,42.0
38.0,81.0,32.0,64.0,54.0,218.0,158.0,26.0
38.0,72.0,46.0,70.0,28.0,185.0,203.0,51.0
63.0,32.0,53.0,38.0,90.0,178.0,81.0,33.0
100.0,10.0,23.0,14.0,14.0,163.0,54.0,10.0
50.0,34.0,58.0,56.0,28.0,175.0,76.0,70.0
56.0,73.0,70.0,84.0,70.0,188.0,97.0,82.0
75.0,80.0,42.0,85.0,70.0,191.0,117.0,97.0
63.0,10.0,23.0,42.0,42.0,168.0,59.0,44.0
56.0,63.0,50.0,65.0,55.0,188.0,86.0,35.0
88.0,10.0,12.0,14.0,28.0,183.0,82.0,9.0
50.0,80.0,35.0,70.0,80.0,168.0,105.0,35.0
88.0,83.0,42.0,100.0,64.0,206.0,331.0,100.0
63.0,10.0,75.0,56.0,42.0,165.0,79.0,61.0
81.0,100.0,92.0,95.0,100.0,168.0,73.0,100.0
75.0,57.0,65.0,84.0,84.0,191.0,117.0,86.0
50.0,57.0,47.0,70.0,56.0,175.0,50.0,54.0
63.0,73.0,35.0,90.0,56.0,229.0,334.0,73.0
50.0,10.0,17.0,30.0,30.0,178.0,71.0,99.0
63.0,63.0,53.0,64.0,70.0,165.0,54.0,58.0
56.0,9.0,13.0,50.0,15.0,137.0,41.0,79.0
100.0,72.0,54.0,95.0,70.0,191.0,135.0,100.0
50.0,38.0,50.0,50.0,25.0,175.0,63.0,62.0
75.0,22.0,42.0,25.0,30.0,180.0,79.0,26.0
50.0,28.0,8.0,50.0,20.0,183.0,162.0,11.0
63.0,80.0,63.0,100.0,85.0,185.0,95.0,100.0
88.0,36.0,79.0,95.0,95.0,188.0,108.0,71.0
38.0,10.0,23.0,28.0,50.0,173.0,67.0,85.0
38.0,72.0,47.0,70.0,84.0,218.0,158.0,26.0
63.0,17.0,58.0,52.0,42.0,163.0,50.0,29.0
56.0,32.0,35.0,65.0,84.0,175.0,117.0,60.0
38.0,16.0,35.0,42.0,42.0,366.0,473.0,26.0
63.0,32.0,50.0,100.0,100.0,160.0,135.0,89.0
75.0,90.0,25.0,80.0,60.0,165.0,51.0,39.0
75.0,100.0,53.0,90.0,64.0,188.0,171.0,64.0
88.0,100.0,79.0,100.0,100.0,183.0,74.0,100.0
10.0,10.0,12.0,1.0,56.0,196.0,117.0,1.0
75.0,24.0,42.0,100.0,95.0,155.0,50.0,55.0
88.0,53.0,53.0,95.0,84.0,175.0,61.0,100.0
88.0,10.0,12.0,28.0,14.0,183.0,83.0,12.0
50.0,10.0,35.0,28.0,28.0,165.0,52.0,31.0
88.0,52.0,33.0,25.0,90.0,66.0,17.0,100.0
81.0,10.0,23.0,28.0,56.0,170.0,57.0,100.0
50.0,10.0,100.0,28.0,28.0,185.0,81.0,100.0
38.0,100.0,17.0,80.0,64.0,203.0,441.0,24.0
88.0,28.0,35.0,65.0,85.0,191.0,65.0,100.0
50.0,90.0,53.0,64.0,65.0,185.0,90.0,99.0
63.0,80.0,53.0,90.0,95.0,203.0,441.0,62.0
38.0,80.0,25.0,100.0,64.0,193.0,122.0,98.0
69.0,10.0,33.0,40.0,50.0,185.0,88.0,37.0
10.0,8.0,13.0,5.0,20.0,178.0,81.0,5.0
75.0,28.0,38.0,80.0,95.0,191.0,104.0,72.0
50.0,85.0,100.0,85.0,40.0,188.0,108.0,100.0
56.0,48.0,35.0,80.0,55.0,193.0,90.0,34.0
